number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
0,0.4111282750964165,2023-03-02 11:24:03.223785,2023-03-02 11:26:12.469905,0 days 00:02:09.246120,0.00020147469288875854,fpn,zscore,50,logcosh,2.02388547807356e-07,COMPLETE
1,277.6111145019531,2023-03-02 11:26:12.503384,2023-03-02 11:27:00.502971,0 days 00:00:47.999587,1.7775700390834744e-06,unet++,None,161,mae,6.483914290228104e-09,COMPLETE
2,0.5609714016318321,2023-03-02 11:27:00.534672,2023-03-02 11:28:10.720781,0 days 00:01:10.186109,2.8278184919019826e-06,fpn,zscore,74,xsigmoid,3.3013645881533263e-12,COMPLETE
3,0.19740710780024529,2023-03-02 11:28:10.745954,2023-03-02 11:29:24.729443,0 days 00:01:13.983489,4.949943107043112e-05,deeplabv3+,minmax,124,huber,0.0004544565761760689,COMPLETE
4,0.5515439361333847,2023-03-02 11:29:24.755263,2023-03-02 11:30:35.782168,0 days 00:01:11.026905,0.005020457584195253,deeplabv3,zscore,112,huber,1.790749812643146e-10,COMPLETE
5,277.46399688720703,2023-03-02 11:30:35.808177,2023-03-02 11:31:24.522183,0 days 00:00:48.714006,0.0016907570137686297,linknet,None,64,xtanh,8.525628089939761e-06,COMPLETE
6,277.5100860595703,2023-03-02 11:31:24.548692,2023-03-02 11:32:15.240626,0 days 00:00:50.691934,3.369430157993222e-06,manet,None,54,mse,0.0007019418078443695,COMPLETE
7,0.5349981337785721,2023-03-02 11:32:15.266449,2023-03-02 11:33:33.322398,0 days 00:01:18.055949,0.001482245671310112,manet,negone,206,logcosh,4.084566592864491e-09,COMPLETE
8,277.5837860107422,2023-03-02 11:33:33.351294,2023-03-02 11:34:25.168370,0 days 00:00:51.817076,3.1404607365195165e-05,linknet,None,55,logcosh,1.1223122703665932e-12,COMPLETE
9,0.4551970660686493,2023-03-02 11:34:25.195513,2023-03-02 11:35:36.242222,0 days 00:01:11.046709,0.002816186635011678,unet++,minmax,207,mae,7.421184372492707e-12,COMPLETE
10,,2023-03-02 11:35:36.269361,2023-03-02 11:35:39.010167,0 days 00:00:02.740806,1.14648625028274e-06,pan,None,9,logcosh,3.1958505709717384e-09,PRUNED
11,0.35278286784887314,2023-03-02 11:35:39.033417,2023-03-02 11:37:09.093120,0 days 00:01:30.059703,0.00023640362045681694,unet,zscore,4,logcosh,4.420847623635391e-10,COMPLETE
12,0.3634363003075123,2023-03-02 11:37:09.120549,2023-03-02 11:38:24.502693,0 days 00:01:15.382144,0.0004055500943470642,deeplabv3,zscore,50,xtanh,3.391591998120981e-06,COMPLETE
13,0.08518536761403084,2023-03-02 11:38:24.530036,2023-03-02 11:39:46.003245,0 days 00:01:21.473209,0.00022771567294139415,manet,negone,54,huber,4.676067930360886e-11,COMPLETE
14,0.5606871545314789,2023-03-02 11:39:46.032228,2023-03-02 11:40:57.563652,0 days 00:01:11.531424,0.008352610450888687,fpn,zscore,117,xsigmoid,2.8619306632626226e-12,COMPLETE
15,0.2129313237965107,2023-03-02 11:40:57.590297,2023-03-02 11:42:09.472872,0 days 00:01:11.882575,3.6867630102314e-05,pspnet,negone,187,huber,1.466849328825584e-11,COMPLETE
16,0.6552049815654755,2023-03-02 11:42:09.500064,2023-03-02 11:43:24.775270,0 days 00:01:15.275206,2.0322607846052864e-06,deeplabv3,zscore,56,mse,2.0105536997210362e-05,COMPLETE
17,277.0906677246094,2023-03-02 11:43:24.815686,2023-03-02 11:44:13.176177,0 days 00:00:48.360491,0.0054141807928927855,unet++,None,136,xtanh,2.2735275985446087e-05,COMPLETE
18,0.5958300828933716,2023-03-02 11:44:13.205700,2023-03-02 11:45:27.667934,0 days 00:01:14.462234,2.3488407820453497e-05,manet,zscore,37,mae,0.00023688369531728445,COMPLETE
19,,2023-03-02 11:45:27.694644,2023-03-02 11:45:33.304629,0 days 00:00:05.609985,1.7049778322557906e-05,pan,None,181,xtanh,1.0549556299344458e-06,PRUNED
20,0.19455451518297195,2023-03-02 11:45:33.330669,2023-03-02 11:46:48.403510,0 days 00:01:15.072841,0.00020716400060735048,unet,negone,196,xtanh,2.2929601628479645e-10,COMPLETE
21,0.1921127550303936,2023-03-02 11:46:48.431348,2023-03-02 11:47:58.988584,0 days 00:01:10.557236,0.00014157357799881665,pspnet,negone,180,xtanh,8.885540804812545e-06,COMPLETE
22,0.21701563335955143,2023-03-02 11:47:59.016230,2023-03-02 11:49:16.616477,0 days 00:01:17.600247,0.0001309188679979348,deeplabv3,negone,195,logcosh,8.045954279353131e-06,COMPLETE
23,0.2086394466459751,2023-03-02 11:49:16.643753,2023-03-02 11:50:29.520604,0 days 00:01:12.876851,1.249035072322288e-06,linknet,negone,247,xtanh,2.1304568060142269e-07,COMPLETE
24,277.4618835449219,2023-03-02 11:50:29.548180,2023-03-02 11:51:19.879781,0 days 00:00:50.331601,0.0001096545356083123,manet,None,56,logcosh,4.547159921390339e-09,COMPLETE
25,277.39537048339844,2023-03-02 11:51:19.908652,2023-03-02 11:52:10.062927,0 days 00:00:50.154275,0.00042722580759471445,manet,None,104,mse,6.906732333450973e-07,COMPLETE
26,,2023-03-02 11:52:10.091789,2023-03-02 11:52:33.194917,0 days 00:00:23.103128,2.868635701105481e-05,pan,negone,243,xtanh,0.00022278427817783335,PRUNED
27,0.21078535169363022,2023-03-02 11:52:33.228060,2023-03-02 11:53:35.088201,0 days 00:01:01.860141,0.0007736652294190287,manet,minmax,222,mse,1.6344112364257165e-11,COMPLETE
28,277.37523651123047,2023-03-02 11:53:35.120597,2023-03-02 11:54:27.009853,0 days 00:00:51.889256,2.786831184263752e-06,fpn,None,31,logcosh,0.000641340922710593,COMPLETE
29,0.3775933273136616,2023-03-02 11:54:27.038892,2023-03-02 11:55:40.812554,0 days 00:01:13.773662,0.0023291513071583376,linknet,zscore,53,mse,2.374018150257081e-09,COMPLETE
30,0.10053466819226742,2023-03-02 11:55:40.842781,2023-03-02 11:56:53.095958,0 days 00:01:12.253177,0.006431459951508699,deeplabv3,minmax,81,smooth,4.781046877694838e-10,COMPLETE
31,0.19552835449576378,2023-03-02 11:56:53.125677,2023-03-02 11:57:58.643969,0 days 00:01:05.518292,6.651989066397734e-05,deeplabv3+,minmax,181,smooth,4.282320394862599e-08,COMPLETE
32,,2023-03-02 11:57:58.674128,2023-03-02 11:58:19.980508,0 days 00:00:21.306380,2.0612977183269154e-06,pan,minmax,212,mse,6.5386395415209494e-12,PRUNED
33,,2023-03-02 11:58:20.015041,2023-03-02 11:58:35.519533,0 days 00:00:15.504492,0.00019128983811667253,pan,zscore,11,mae,8.118122044043109e-09,PRUNED
34,0.17261538468301296,2023-03-02 11:58:35.547365,2023-03-02 11:59:50.205165,0 days 00:01:14.657800,4.155680026243774e-05,pspnet,minmax,214,xsigmoid,9.32189162407012e-09,COMPLETE
35,0.18866786547005177,2023-03-02 11:59:50.235636,2023-03-02 12:01:02.916653,0 days 00:01:12.681017,0.000229329993855251,deeplabv3,minmax,101,huber,2.0861334647023856e-05,COMPLETE
36,0.35234585404396057,2023-03-02 12:01:02.947439,2023-03-02 12:02:20.603570,0 days 00:01:17.656131,0.0015928185381963473,linknet,zscore,19,xsigmoid,6.267158534814093e-12,COMPLETE
37,0.43276501446962357,2023-03-02 12:02:20.633762,2023-03-02 12:03:37.572025,0 days 00:01:16.938263,0.001020449706829618,manet,negone,159,mae,1.1835671296190082e-12,COMPLETE
38,277.6177291870117,2023-03-02 12:03:37.605366,2023-03-02 12:04:21.307669,0 days 00:00:43.702303,4.556070958242717e-06,manet,None,183,xsigmoid,6.13340905112872e-11,COMPLETE
39,0.5625670105218887,2023-03-02 12:04:21.338911,2023-03-02 12:05:37.202793,0 days 00:01:15.863882,2.546683225912011e-05,manet,zscore,27,logcosh,5.217820732627534e-07,COMPLETE
40,0.18520345725119114,2023-03-02 12:05:37.233495,2023-03-02 12:06:46.264336,0 days 00:01:09.030841,0.0003828088320880797,deeplabv3,minmax,185,xsigmoid,6.937687049032005e-12,COMPLETE
41,0.5506095737218857,2023-03-02 12:06:46.294926,2023-03-02 12:07:51.864529,0 days 00:01:05.569603,0.006131992733110148,deeplabv3+,zscore,181,smooth,9.683339444428788e-07,COMPLETE
42,277.09849548339844,2023-03-02 12:07:51.895607,2023-03-02 12:08:45.024145,0 days 00:00:53.128538,0.0013713447487364776,unet++,None,23,xtanh,1.8318954179854323e-08,COMPLETE
43,0.3926113322377205,2023-03-02 12:08:45.054251,2023-03-02 12:10:04.779445,0 days 00:01:19.725194,0.00013121518501238102,manet,zscore,20,mae,0.00020657381451130377,COMPLETE
44,0.2152601070702076,2023-03-02 12:10:04.811700,2023-03-02 12:11:19.484866,0 days 00:01:14.673166,5.231989214707995e-05,unet++,negone,253,xsigmoid,1.7354579889518767e-12,COMPLETE
45,0.11596936732530594,2023-03-02 12:11:19.515794,2023-03-02 12:12:39.021685,0 days 00:01:19.505891,4.14234694685688e-05,linknet,minmax,12,smooth,0.0001483321196931346,COMPLETE
46,0.18418805673718452,2023-03-02 12:12:39.053566,2023-03-02 12:13:54.054937,0 days 00:01:15.001371,2.725185328091363e-05,pspnet,minmax,67,logcosh,2.9234175706553977e-08,COMPLETE
47,0.46895986795425415,2023-03-02 12:13:54.090030,2023-03-02 12:15:00.766854,0 days 00:01:06.676824,0.00018498477516070815,pspnet,zscore,150,logcosh,6.939669442459739e-08,COMPLETE
48,0.23440167680382729,2023-03-02 12:15:00.799171,2023-03-02 12:16:09.721639,0 days 00:01:08.922468,7.45768674487039e-06,unet++,negone,224,xsigmoid,5.994076791768628e-11,COMPLETE
49,0.6232149675488472,2023-03-02 12:16:09.753868,2023-03-02 12:17:15.642753,0 days 00:01:05.888885,0.00041110606285437237,linknet,zscore,179,xtanh,1.1661368327223663e-05,COMPLETE
50,,2023-03-02 12:17:15.692386,2023-03-02 12:17:22.121512,0 days 00:00:06.429126,0.00032679013221069723,pan,None,196,mae,0.0003369329007703478,PRUNED
51,0.6548105925321579,2023-03-02 12:17:22.169807,2023-03-02 12:18:26.793754,0 days 00:01:04.623947,0.0005997827839485478,deeplabv3,zscore,225,logcosh,7.164248178434261e-09,COMPLETE
52,0.1123549323529005,2023-03-02 12:18:26.825961,2023-03-02 12:19:43.260338,0 days 00:01:16.434377,6.908178758783724e-05,unet,minmax,28,mse,1.643102166000259e-11,COMPLETE
53,0.5340849235653877,2023-03-02 12:19:43.292950,2023-03-02 12:20:57.905835,0 days 00:01:14.612885,3.7352542690272255e-05,unet,zscore,50,mse,0.00014767002759407218,COMPLETE
54,0.22344772517681122,2023-03-02 12:20:57.939361,2023-03-02 12:22:21.274121,0 days 00:01:23.334760,1.4235529766682574e-06,manet,negone,215,mse,1.9245814088076856e-09,COMPLETE
