,Unnamed: 0,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,tcesm_corr,train_custom,valid_loss,valid_corr,vcesm_corr,valid_custom,valid_perc,valid_rmse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_rmse,valid_cesm_mae,valid_cesm_ssim,valid_custom_second,valid_custom_third,evals_loss,evals_corr,ecesm_corr,evals_custom,evals_perc,evals_rmse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_rmse,evals_cesm_mae,evals_cesm_ssim,evals_custom_second,evals_custom_third,lr
0,0,0,0.0006815916362159,negone,9.064403529056412e-12,24,smooth,linknet,9,0.0052987350241488,0.9226658526394104,0.9326173729366728,1.0107856167742575,0.0040211518062278,0.9327668994665146,0.9297411292791368,0.9967561346901262,0.0523580480366945,0.0080423036124557,0.0587640032172203,-10.0,0.0634271288290619,0.0082941484870389,0.0615840088576078,-10.0,0.9696358372439632,0.954208800422398,0.0046433961018919,0.9279625058174134,0.9367727518081664,1.009494183154515,0.0555671866983175,0.0092867922037839,0.0635361038148403,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.3397915592874277,1.1129773036548487,0.0006815916362159
1,1,1,0.0002184161816614,negone,6.808851294729696e-06,68,logcosh,deeplabv3+,17,0.0068393762145812,0.882568766673406,0.9331798205773036,1.0573451676685337,0.0056271684006787,0.8941217362880707,0.9297411292791368,1.0398372968080825,0.1883603073656559,0.0112543368013575,0.0715646166354417,-10.0,0.0634271288290619,0.0082941484870389,0.0615840088576078,-10.0,1.3569008101246898,1.1620649250182902,0.0062516153790056,0.8876862525939941,0.9367727518081664,1.055297126739016,0.1801595360040664,0.0125032307580113,0.076526540517807,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.80382231731005,1.3405339265334115,0.0002184161816614
2,2,2,1.564512735068924e-05,zscore,1.9162958391578588e-09,4,logcosh,fpn,11,0.2966906886209141,0.768271203474565,0.931651990792968,1.212660303522377,0.2630731090903282,0.7705740183591843,0.929741144180298,1.206556569555816,0.312030017375946,0.5921796783804893,0.5825355723500252,-10.0,0.0846779085695743,0.1552853770554065,0.2664693966507911,-10.0,3.81349287105892,2.186125610189449,0.2791411578655243,0.7669401526451111,0.9367727279663086,1.2214417575288756,0.3205059051513672,0.6358138918876648,0.598905599117279,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.899398683645547,2.42462576147585,1.564512735068924e-06
3,3,3,4.8044584880007385e-05,zscore,6.872436643850065e-12,93,mse,pspnet,32,0.2946109904183281,0.7870133916536967,0.9333596759372288,1.185951453730698,0.2642628736793995,0.7763891816139221,0.929741144180298,1.1975194479752986,0.364319697022438,0.5954972952604294,0.5824073851108551,-10.0,0.0846779085695743,0.1552853770554065,0.2664693966507911,-10.0,3.834857515578901,2.1856445521738523,0.2830656409263611,0.7724017024040222,0.9367727279663086,1.2128051052330648,0.3860744595527648,0.6446664452552795,0.6039465069770813,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.967613909625316,2.4450335103366343,4.8044584880007385e-05
4,4,4,0.0017593644610275,zscore,0.0006246573435914,99,mse,pspnet,19,0.2932995893061161,0.7753824442625046,0.9330852255225182,1.2033870929461274,0.2622946761548519,0.7722809314727783,0.929741144180298,1.2038898104181273,0.3241077959537506,0.5902169793844223,0.5808317363262177,-10.0,0.0846779085695743,0.1552853770554065,0.2664693966507911,-10.0,3.800853567646811,2.179731494973133,0.2809315919876098,0.7669049620628356,0.9367727279663086,1.221497805212473,0.3526291191577911,0.6394840121269226,0.6026033639907837,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.927679572909629,2.439595893639241,1.759364461027559e-05
5,5,5,4.1690124557957165e-06,minmax,0.0006820167396137,21,smooth,linknet,21,0.0074365559765802,0.4235683672484897,0.93213603752,2.200674341134533,0.0077126297401264,0.4546964988112449,0.9297411292791368,2.0447510189980456,0.1833734475076198,0.0154252594802528,0.0951928663998842,0.2580183632671833,0.040159972384572,0.0020735371217597,0.0307920044288039,0.8299514651298523,7.439104570822471,3.091480017807398,0.0076485408470034,0.428425669670105,0.9367727041244508,2.186546629770764,0.1827511012554168,0.0152970816940069,0.0945691332221031,0.2574890345335007,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,8.827547978088651,3.3131807770034576,4.1690124557957165e-06
6,6,6,1.8639251584498316e-05,zscore,1.8680867568108324e-09,54,xsigmoid,manet,55,0.3015515878796577,0.8780619353055954,0.9328804947435856,1.062431312910645,0.2688203863799572,0.8670630156993866,0.929741144180298,1.072287858374808,0.1985831763595342,0.6068613529205322,0.5860509723424911,-10.0,0.0846779085695743,0.1552853770554065,0.2664693966507911,-10.0,3.908039278572903,2.19931811948564,0.2892351865768433,0.8636192083358765,0.9367727279663086,1.084705757959452,0.2251633673906326,0.6612441062927246,0.6112574994564056,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,5.095356589835785,2.4746315316833254,1.8639251584498316e-05
0,0,7,1.1800902996579928e-06,negone,6.049301659407806e-05,7,huber,unet,30,0.0203434205022714,0.851993235330733,0.9313392639160156,1.093129880960242,0.0162372207269072,0.8466260582208633,0.9297411292791368,1.098172115364527,0.1812000349164009,0.0324745373800396,0.1483967788517475,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,3.91535519659275,2.4096641580262306,0.0170884871855378,0.8347784042358398,0.9367727518081664,1.122181344240323,0.1809076011180877,0.0341769851744174,0.1516326189041137,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,4.930662305539532,2.6561852742157783,1.1800902996579928e-06
1,1,8,0.0097717791570169,zscore,0.00034060883814,4,huber,deeplabv3+,12,0.285657064481215,0.7996877331625332,0.9316948254000056,1.1650732989431047,0.2519850991666317,0.8134544491767883,0.929741144180298,1.1429541569551818,0.2342484854161739,0.5679706186056137,0.5537199229001999,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,3.6575924235477695,2.0779869278041385,0.2712737262248993,0.8028494715690613,0.9367727279663086,1.1668099203397524,0.2624898612499237,0.6187660098075867,0.5775694966316223,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.768032615543285,2.338248102271362,0.0009771779157016
2,2,9,5.47663367092474e-05,minmax,5.2574915580116704e-11,114,smooth,pspnet,24,0.0038521490725023,0.7380156517028809,0.9327746800013952,1.263895525588287,0.0015437210386153,0.8672989755868912,0.9297411292791368,1.0719961114331902,0.1253686342388391,0.0030874420772306,0.0384236639365553,0.6149545609951019,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.4889736213694955,1.2478454926634313,0.001501087564975,0.8743275165557861,0.9367727041244508,1.0714208192996753,0.119936029613018,0.00300217512995,0.0386736549437046,0.6147548437118531,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.7324771827976468,1.3549115421732454,5.47663367092474e-06
3,3,10,0.0075012596818606,minmax,2.2024954963034638e-08,106,xsigmoid,unet,50,0.0004955566109856,0.9625857025384904,0.9328848347067832,0.9691447029044986,0.0004480771458474,0.9634776264429092,0.9297411292791368,0.9649846594898884,0.0097495014779269,0.0008961542916949,0.0218030153773725,0.8919921964406967,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,0.4321862783601644,0.7080739231440614,0.0004883737594354,0.961811912059784,0.9367727041244508,0.9739666273401522,0.0119685895740985,0.0009767475188709,0.0226574812084436,0.8939111471176148,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,0.5636555885486743,0.793793161018285,7.501259681860686e-07
4,4,11,1.512220637966028e-05,minmax,2.545094045056045e-06,23,xsigmoid,unet++,35,0.0004651548630423,0.9668638329756888,0.9329874656702344,0.9649626285004432,0.0004612974880728,0.9619231969118118,0.9297411292791368,0.9665440362224412,0.004743504920043,0.0009225949761457,0.0227439664304256,0.8910141885280609,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,0.4449377667098648,0.7386322148339957,0.0004957679891958,0.960579252243042,0.9367727041244508,0.9752164664570876,0.004383367486298,0.0009915359783917,0.0237406305968761,0.8830875992774964,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,0.5721896238995421,0.8317407408480519,1.5122206379660285e-06
5,5,12,7.866854697098944e-06,minmax,4.6133440352820493e-07,60,logcosh,deeplabv3+,27,0.0022939818944515,0.8214445752756936,0.9326680941241128,1.1353999066961886,0.0026761936605907,0.8260559141635895,0.9297411292791368,1.1255183981347463,0.105060501024127,0.0053523873211815,0.0555791547521948,0.6228768527507782,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,2.581283578197645,1.80498657957467,0.0025856036692857,0.8468318104743957,0.9367727041244508,1.1062086857597733,0.0999934822320938,0.0051712073385715,0.0561261504888534,0.6300179362297058,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,2.9841692552226364,1.966350716677712,7.866854697098945e-08
0,0,13,0.0001301043833009,minmax,0.0002735885609062,108,huber,linknet,37,0.0008498999741277,0.9351521506905556,0.932879500091076,0.9975697531168576,0.0006606601527892,0.945120096206665,0.9297411292791368,0.983728028861884,0.0141277211951091,0.0013213203055784,0.0274031427688896,0.8077604174613953,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,0.6372301183868169,0.8899434537381335,0.0007213249453343,0.9423547148704527,0.9367727041244508,0.9940765290840938,0.0149396449327468,0.0014426498906686,0.0287391848862171,0.7905515432357788,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,0.83251572948398,1.0068625107109268,0.0001301043833009
1,1,14,7.555770440130107e-06,zscore,3.549170841472894e-06,74,logcosh,deeplabv3+,74,0.3160894431851127,0.8101314197887074,0.9321502230384132,1.1506160608874174,0.2895386777818203,0.7893066108226776,0.929741144180298,1.1779213950979688,0.4424782246351242,0.6627070009708405,0.6191999763250351,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,4.267671647758458,2.323718911468465,0.3058579474687576,0.7986075162887574,0.9367727279663086,1.1730076525195063,0.4494539797306061,0.7053223133087159,0.6366635084152221,-10.0,0.0747098103165626,0.1297738626599311,0.2470095008611679,-10.0,5.435010554914232,2.5774859112527007,7.555770440130107e-06
2,2,15,1.305674882236485e-06,minmax,3.381440027354686e-05,9,mse,linknet,25,0.014488186002994,0.2427756526336378,0.932218923252456,3.83983695704127,0.0176285100169479,0.227036353200674,0.9297411292791368,4.095120081748989,0.3232258409261703,0.0352570200338959,0.1473895721137523,0.0896647684276104,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,17.003322324885485,4.786618307182335,0.0185355562716722,0.1957581907510757,0.9367727041244508,4.78535636506593,0.3276846051216125,0.0370711125433445,0.1494364976882934,0.0836549058556556,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,21.39277485232403,5.235430575014049,1.3056748822364852e-07
3,3,16,0.0013936340597895,minmax,5.937099664123609e-11,52,logcosh,fpn,0,0.094558326061815,0.049245846341364,0.9324681982398032,18.934961372703143,0.0873460602015256,0.0898736696690321,0.9297411292791368,10.344977930722004,0.1642976328730583,0.1746921204030513,0.4017129763960838,0.4024829715490341,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,84.24836891986635,13.046015803385226,0.0910823538899421,0.085366803407669,0.9367727041244508,10.973501018316146,0.1631135702133178,0.1821647077798843,0.4110233783721924,0.4018165290355682,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,105.12251486971108,14.39999193947864,0.0013936340597895
4,4,17,0.0001267443139891,negone,3.044135118932579e-12,41,mae,linknet,27,0.0070382220049699,0.9138332009315492,0.9330210799262636,1.0209971348985294,0.0058015014510601,0.9155673235654832,0.9297411292791368,1.0154808994913194,0.0813452936708927,0.0116030559875071,0.0743351131677627,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,1.398944810988006,1.207052196612233,0.0064555644057691,0.9113508582115172,0.9367727518081664,1.0278947381983472,0.0810695610940456,0.0129111289978027,0.0792719945311546,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.8626691835614595,1.3886267087724495,1.2674431398915249e-05
0,0,18,3.183839624402761e-06,zscore,1.8901762766488768e-11,24,mse,linknet,0,0.561676002211041,0.0249035075927774,0.932418531841702,37.44125313946236,0.4989600777626037,0.1100050453096628,0.929741144180298,8.451804565536865,0.573436364531517,1.1939349174499512,0.8879117071628571,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,7.688650020303904,3.3321338897557067,0.5229231595993042,0.0893983140587806,0.9367727279663086,10.47863975768455,0.5729036927223206,1.2709988594055175,0.9138171195983886,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,9.793951057279807,3.699522149603472,3.183839624402761e-06
1,1,19,1.463565227815366e-05,negone,3.868675833467921e-08,23,mae,deeplabv3+,29,0.0094885897062914,0.8736210088980826,0.9326780673704648,1.0676003185258471,0.0094539450947195,0.8868107050657272,0.9297411292791368,1.0484099075125932,0.2192581743001938,0.018907890189439,0.1065827533602714,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,2.279666227218625,1.7306887832961309,0.0099589737132191,0.8789958715438843,0.9367727518081664,1.0657305479294257,0.2123448640108108,0.0199179474264383,0.1098792523145675,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,2.8735323516121536,1.924781449065088,1.463565227815366e-06
2,2,20,7.567552604674541e-06,minmax,2.268581529851149e-09,99,mse,pspnet,10,0.0058487414498813,0.6591573655605316,0.9324826672673224,1.4146586475209324,0.0024072365486063,0.8090626746416092,0.9297411292791368,1.1491583512871664,0.1319625545293092,0.0048144730972126,0.0504867024719715,0.5790760517120361,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,2.321864917048971,1.639604287168278,0.0025164355989545,0.798218834400177,0.9367727041244508,1.1735788028960632,0.1297443598508834,0.0050328711979091,0.0539089813828468,0.5644949913024903,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,2.9043390664828026,1.8886733412899657,7.567552604674542e-07
3,3,21,7.814082051431487e-05,zscore,1.2821714497840327e-10,119,mae,unet,74,0.2819018491676875,0.8775199396269662,0.9333112665585108,1.0635784150446332,0.2570703625679016,0.8575263470411301,0.929741144180298,1.0842129193911567,0.1899441033601761,0.579423263669014,0.5642099976539612,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,3.731344667838704,2.117353830291288,0.2755728632211685,0.8515674710273743,0.9367727279663086,1.1000569653466663,0.2224794328212738,0.6293053746223449,0.5863742351531982,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.849245924592861,2.373893445834583,7.814082051431487e-05
4,4,22,2.483342076045291e-06,negone,0.0006151336970992,42,mae,fpn,21,0.0234180138047252,0.5724546966098604,0.933007932844616,1.6298371528262263,0.0152623350732028,0.680363342165947,0.9297411292791368,1.3665361897942527,0.2887471169233322,0.0305246701464056,0.1375808343291282,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,3.6802656950386106,2.23403505035272,0.0172708358615636,0.6562493681907654,0.9367727518081664,1.4274646151519883,0.2859613835811615,0.0345416724681854,0.1485406547784805,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,4.983275193525823,2.6020225904986027,2.483342076045291e-07
5,5,23,0.0001049263655152,minmax,1.4965539524889573e-05,72,mae,fpn,19,0.0105963435489684,0.6033335675795873,0.9328405857086182,1.546144016900841,0.0016963552625384,0.8912193179130554,0.9297411292791368,1.04322371675727,0.0876190979033708,0.0033927105250768,0.0425364067777991,0.709049865603447,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.6361947367489516,1.3814107774682276,0.0016904536169022,0.8932750463485718,0.9367727041244508,1.048694585115395,0.0844100192189216,0.0033809072338044,0.0430277347564697,0.7134510636329651,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.951033629347001,1.5074544813509996,1.0492636551528606e-05
0,0,24,0.0007946241546742,negone,1.8760637189003604e-09,75,xtanh,unet,29,0.0047478167848153,0.9278111132708464,0.9330945069139654,1.0056944711779678,0.0036702384823001,0.9356822371482848,0.9297411292791368,0.9936505069421268,0.0454656381625682,0.0073404769646003,0.0550766102969646,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,0.8850187546161239,0.8943329821920273,0.004344159271568,0.9293108463287354,0.9367727518081664,1.0080295043460534,0.0513218097388744,0.0086883185431361,0.0606059946119785,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.2534506633788114,1.0616498717821117,7.946241546742141e-06
1,1,25,1.156829823620151e-06,zscore,5.9874358899490066e-12,45,logcosh,deeplabv3,70,0.3352674700711903,0.7749944266520048,0.9328923633224084,1.2037407383076637,0.3101823255419731,0.7625553160905838,0.929741144180298,1.2192441971906127,0.4438068270683288,0.7145925164222717,0.6528861075639725,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,4.601801727713883,2.450135421815742,0.3282760471105576,0.770860469341278,0.9367727279663086,1.21522994786178,0.4588239192962646,0.7617358088493347,0.6726881384849548,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,5.869716699775226,2.7233290061301743,1.156829823620151e-09
2,2,26,0.0041794286195258,negone,3.510120387369284e-07,46,xsigmoid,linknet,35,0.0046100877715568,0.9278280170340288,0.9331730384575692,1.0057607889882727,0.0035966286668553,0.9364325553178788,0.9297411292791368,0.992854342791969,0.0432778159156441,0.0071932573337107,0.0542561477050185,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,0.8672689360398527,0.8810103257562768,0.0042477344628423,0.929503095149994,0.9367727518081664,1.007821013933256,0.050921931117773,0.0084954689256846,0.0593610763549804,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.225628538795475,1.0398423374551362,0.0004179428619525
3,3,27,0.0045439526623248,minmax,0.0001560891903221,57,huber,deeplabv3,20,0.0016169814858585,0.8717424909273783,0.9329165657361348,1.0701744786395329,0.0015271891898009,0.8660288155078888,0.9297411292791368,1.0735683531891296,0.1254573799669742,0.0030543783796019,0.0379419261589646,0.6042622029781342,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.4730280676189955,1.2322005943683365,0.0015079563949257,0.8740087509155273,0.9367727041244508,1.0718115844299934,0.1202773556113243,0.0030159127898514,0.0384796805679798,0.6057902216911316,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.740404829018796,1.3481157500264225,4.543952662324878e-05
